State,Number of fires,Number of acres burned ,state code
Alabama,"1,040","22,055",AL
Alaska,384,"253,357",AK
Arizona,"1,773","524,428",AZ
Arkansas,378,"17,003",AR
California,"9,280","2,233,666",CA
Colorado,"1,017","48,195",CO
Connecticut,60,127,CT
Delaware,0,0,DE
District of Columbia,0,0,
Florida,"2,262","105,475",FL
Georgia,"2,139","11,108",GA
Hawaii,1,"40,000",HI
Idaho,"1,332","439,600",ID
Illinois,29,219,IL
Indiana,34,836,IN
Iowa,187,"7,950",IA
Kansas,55,"163,982",KS
Kentucky,723,"22,859",KY
Louisiana,507,"10,303",LA
Maine,636,377,ME
Maryland,112,"1,162",MD
Massachusetts,588,"1,439",MA
Michigan,435,"9,289",MI
Minnesota,"2,065","69,405",MN
Mississippi,922,"21,037",MS
Missouri,"1,531","40,262",MO
Montana,"2,573","747,678",MT
Nebraska,785,"27,294",NE
Nevada,565,"123,427",NV
New Hampshire,280,96,NH
New Jersey,906,"6,652",NJ
New Mexico,672,"123,792",NM
New York,137,550,NY
North Carolina,"5,151","25,838",NC
North Dakota,946,"49,347",ND
Ohio,524,"1,415",OH
Oklahoma,"1,727","113,235",OK
Oregon,"2,202","828,777",OR
Pennsylvania,"1,350","2,892",PA
Puerto Rico,0,0,
Rhode Island,99,178,RI
South Carolina,630,"7,337",SC
South Dakota,868,"43,620",SD
Tennessee,550,"4,937",TN
Texas,"5,576","168,258",TX
Utah,"1,085","60,863",UT
Vermont,90,157,VT
Virginia,567,"6,696",VA
Washington,"1,863","674,222",WA
West Virginia,752,"7,504",WV
Wisconsin,"1,040","2,159",WI
Wyoming,540,"53,496",WY
United States (1),"58,968","7,124,554",
